date,user,location,text
2022-03-14 23:33:02,CodyToyota,"Texas, USA",mastered it :1st_place_medal: @oksanamasters shot for gold in the long distance biathlon and can now call herself a 15-time paralym  
2022-03-14 23:04:47,AJBakare,Greater Manchester 🐝 & London,i’ve loved being part of a hugely talented  dynamic &amp; slick team at @wearewhispertv &amp; @c4sport bringing the incredi  
2022-03-14 23:00:02,ThunderbirdsAHL,"Springfield, MA",congrats to team usa and to south hadley native @kylezych for bringing home gold at the #winterparalympics  :1st_place_medal: 
2022-03-14 22:30:05,IAmASnowSeeker,Western Canada,from @jepsenmollie taking the 1st #winterparalympics gold  to @brittanyhudak93 sliding into double bronze  and did  
2022-03-14 22:19:02,CodyToyota,"Texas, USA",team usa  team toyota’s oksana masters wins second gold  earns fifth medal at the 2022 paralympic winter games  
2022-03-14 22:00:02,BerksCountyCIL,"Reading, PA",the 2022 beijing #winterparalympics wrapped up yesterday  check the official medal count. we can’t wait to see thes  
2022-03-14 22:00:01,Tsinghua_Uni,Beijing,thanks to the hard work and dedication of all volunteers behind the scenes at @beijing2022  the heart of everyone i  
2022-03-14 21:20:49,Paralympics,,the multi-medallists of the #winterparalympics  :1st_place_medal:a thread on the top ten performing athletes at #beijing2022. fea  
2022-03-14 21:06:37,usahockey,"Colorado Springs, Colo.",may we never stop celebrating :star-struck:#winterparalympics | #teamusa:United_States: 
2022-03-14 20:55:45,ChinaEUMission,"Brussels, Belgium",hard to say goodbye. highlights of the closing ceremony of #winterparalympics. #beijing2022 
2022-03-14 20:45:01,bonniestjohn,NYC,the 2022 #winterparalympics were incredible  #teamusa is bringing home 20 medals thanks to our inspiring  resilient  
2022-03-14 20:40:05,CodyToyota,"Texas, USA",team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 20:17:41,AdamWittekTV,"London, UK",final #medaltable at the #beijing2022 #winterparalympics - what an inspiring feat  #teamukraine  :Ukraine::flexed_biceps_light_skin_tone:  
2022-03-14 20:08:59,AAAClubAlliance,"Wilmington, DE",a big congrats to #teamusa for bringing home the gold at the #winterparalympics   proud to be the official travel p  
2022-03-14 19:56:56,FusionMedia_CA,Canada,the closing ceremony of the #beijing2022 #winterparalympics was grandly held at the national stadium on the evening  
2022-03-14 19:45:15,ElissaCPA,"Denton, TX",team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 19:44:15,TeamUSA,,we’re still reliving the record-breaking performances of the #winterparalympics  :star-struck:
2022-03-14 19:29:02,CodyToyota,"Texas, USA",team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-14 19:12:16,UnpaintedMelody,Must be near saltwater 🐳 🌊,oh my heart :blue_heart::paw_prints:#winterparalympics 
2022-03-14 18:48:24,GaelanStarfire_,,huge congrats to my boy @mckee25 and all of #teamusa on winning that gold  #winterparalympics 
2022-03-14 18:48:00,Busylifeandme,England,for a nation without much snow  i think #teamgb has performed incredibly well at the #winterparalympics. do you   
